period,n_docs,total_words,total_lemmas
2024Q4-2025Q1 candidatură-precampanie,55,22940,8893
2025Q2 campanie + investitură,468,54950,25269
2025Q3 deficit + reforma economică,96,51685,20982
2025Q4 stabilizare + diplomație,136,46616,20017
2025Q4-2026Q1 reformă judiciară,157,67408,28856
2026Q2 cotitură UE + criză guvern,150,48905,21341
