period,docs,n_words,n_hedging,n_certitudine,n_personal,hedge_per_1000w,cert_per_1000w,personal_per_1000w,hedge_cert_ratio
2024Q4-2025Q1 candidatură-precampanie,16,1652,4,13,3,2.78,9.44,2.05,0.14
2025Q2 campanie + investitură,227,21758,39,77,53,2.23,3.56,3.32,0.13
2025Q3 deficit + reforma economică,47,5448,15,40,13,2.76,6.58,2.46,0.19
2025Q4 stabilizare + diplomație,76,11353,16,51,22,1.29,4.78,2.0,0.12
2025Q4-2026Q1 reformă judiciară,67,11535,19,52,23,1.65,3.83,2.19,0.17
2026Q2 cotitură UE + criză guvern,60,9363,17,38,6,1.45,3.95,0.7,0.23
