doc_id,date,tip,period,canonical,label,count,max_score
2025-02-27_500-de-copii-vor-fi-ajutati-sa-ramana-alaturi-de-familiile-l,2025-02-27,facebook-post,2024Q4-2025Q1 candidatură-precampanie,direcției generale de asistență socială a municipiului bucurești,instituție națională,1,0.534
2025-02-27_500-de-copii-vor-fi-ajutati-sa-ramana-alaturi-de-familiile-l,2025-02-27,facebook-post,2024Q4-2025Q1 candidatură-precampanie,consiliul general al municipiului bucurești,instituție națională,1,0.613
2025-02-27_in-sibiu-am-descoperit-aceleasi-probleme-ca-la-bucuresti-cup,2025-02-27,facebook-post,2024Q4-2025Q1 candidatură-precampanie,nicusorpresedinte,persoană politică,1,0.872
2025-02-27_in-sibiu-am-descoperit-aceleasi-probleme-ca-la-bucuresti-cup,2025-02-27,facebook-post,2024Q4-2025Q1 candidatură-precampanie,romaniaonesta,țară,1,0.896
2025-02-27_in-sibiu-am-descoperit-aceleasi-probleme-ca-la-bucuresti-cup,2025-02-27,facebook-post,2024Q4-2025Q1 candidatură-precampanie,romaniaputernica,țară,1,0.919
2025-02-27_toata-viata-mea-am-luptat-pentru-dreptate-pentru-protectia-c,2025-02-27,facebook-post,2024Q4-2025Q1 candidatură-precampanie,românia,țară,1,0.905
2025-02-27_toata-viata-mea-am-luptat-pentru-dreptate-pentru-protectia-c,2025-02-27,facebook-post,2024Q4-2025Q1 candidatură-precampanie,româniei,țară,1,0.893
2025-02-28_cred-ca-e-important-sa-stiti-de-unde-vin-daca-si-voua-vi-se,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,romaniaonesta,țară,1,0.867
2025-02-28_cred-ca-e-important-sa-stiti-de-unde-vin-daca-si-voua-vi-se,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,nicusorpresedinte,persoană politică,1,0.484
2025-02-28_este-profund-ingrijorator-ca-romania-a-fost-retrogradata-in,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,românia,țară,3,0.993
2025-02-28_este-profund-ingrijorator-ca-romania-a-fost-retrogradata-in,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,nicusorpresedinte,persoană politică,1,0.826
2025-02-28_este-profund-ingrijorator-ca-romania-a-fost-retrogradata-in,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,romaniaonesta,țară,1,0.908
2025-02-28_este-profund-ingrijorator-ca-romania-a-fost-retrogradata-in,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,romaniaputernica,țară,1,0.936
2025-02-28_sust-in-ferm-ucraina-i-n-lupta-sa-pentru-o-pace-justa-s-i-su,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,ucraina,țară,1,0.893
2025-02-28_sust-in-ferm-ucraina-i-n-lupta-sa-pentru-o-pace-justa-s-i-su,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,europa,țară,1,0.574
2025-02-28_sust-in-ferm-ucraina-i-n-lupta-sa-pentru-o-pace-justa-s-i-su,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,românia,țară,1,0.949
2025-03-01_haideti-sa-stam-de-vorba-va-astept-mesajele-pe-whatsapp-la-0,2025-03-01,facebook-post,2025Q2 campanie + investitură,nicusor dan,persoană politică,1,0.813
2025-03-01_haideti-sa-stam-de-vorba-va-astept-mesajele-pe-whatsapp-la-0,2025-03-01,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.545
2025-03-02_cea-mai-entuziasta-echipa-de-voluntari-la-nivel-national-ei,2025-03-02,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.721
2025-03-02_cea-mai-entuziasta-echipa-de-voluntari-la-nivel-national-ei,2025-03-02,facebook-post,2025Q2 campanie + investitură,romaniaputernica,țară,1,0.711
2025-03-02_cea-mai-entuziasta-echipa-de-voluntari-la-nivel-national-ei,2025-03-02,facebook-post,2025Q2 campanie + investitură,nicusorpresedinte,persoană politică,1,0.48
2025-03-03_am-avut-onoarea-sa-primesc-astazi-la-sediul-primariei-capita,2025-03-03,facebook-post,2025Q2 campanie + investitură,dr. mohammed abdulghani khayat,persoană politică,2,0.684
2025-03-03_am-avut-onoarea-sa-primesc-astazi-la-sediul-primariei-capita,2025-03-03,facebook-post,2025Q2 campanie + investitură,eng. mohammad abaalkhail,persoană politică,1,0.544
2025-03-03_am-avut-onoarea-sa-primesc-astazi-la-sediul-primariei-capita,2025-03-03,facebook-post,2025Q2 campanie + investitură,dr. anas almughairi,persoană politică,1,0.529
2025-03-03_cand-vom-alege-pentru-urmatorii-5-ani-sa-nu-uitam-de-tinerii,2025-03-03,facebook-post,2025Q2 campanie + investitură,româniei,țară,1,0.959
2025-03-03_cand-vom-alege-pentru-urmatorii-5-ani-sa-nu-uitam-de-tinerii,2025-03-03,facebook-post,2025Q2 campanie + investitură,nicusorpresedinte,persoană politică,1,0.765
2025-03-03_cand-vom-alege-pentru-urmatorii-5-ani-sa-nu-uitam-de-tinerii,2025-03-03,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.919
2025-03-03_cand-vom-alege-pentru-urmatorii-5-ani-sa-nu-uitam-de-tinerii,2025-03-03,facebook-post,2025Q2 campanie + investitură,romaniaputernica,țară,1,0.919
2025-03-04_astazi-se-implinesc-48-de-ani-de-la-cutremurul-devastator-ca,2025-03-04,facebook-post,2025Q2 campanie + investitură,primăria capitalei,instituție națională,1,0.583
2025-03-04_azi-serviciul-de-informatii-externe-al-rusiei-a-dat-un-comun,2025-03-04,facebook-post,2025Q2 campanie + investitură,rusiei,țară,1,0.933
2025-03-04_azi-serviciul-de-informatii-externe-al-rusiei-a-dat-un-comun,2025-03-04,facebook-post,2025Q2 campanie + investitură,georgescu,persoană politică,1,0.895
2025-03-04_azi-serviciul-de-informatii-externe-al-rusiei-a-dat-un-comun,2025-03-04,facebook-post,2025Q2 campanie + investitură,rusia,țară,1,0.889
2025-03-04_azi-serviciul-de-informatii-externe-al-rusiei-a-dat-un-comun,2025-03-04,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.907
2025-03-04_in-2019-am-facut-o-promisiune-simpla-dar-esentiala-primaria,2025-03-04,facebook-post,2025Q2 campanie + investitură,primăria capitalei,instituție națională,1,0.773
2025-03-05_astazi-am-avut-o-intalnire-extrem-de-interesanta-cu-reprezen,2025-03-05,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.946
2025-03-05_interventia-presedintelui-trump-de-azi-noapte-din-congres-es,2025-03-05,facebook-post,2025Q2 campanie + investitură,volodymyr zelenskyy,persoană politică,1,0.885
2025-03-05_interventia-presedintelui-trump-de-azi-noapte-din-congres-es,2025-03-05,facebook-post,2025Q2 campanie + investitură,ucraina,țară,1,0.867
2025-03-05_interventia-presedintelui-trump-de-azi-noapte-din-congres-es,2025-03-05,facebook-post,2025Q2 campanie + investitură,rusia,țară,1,0.882
