period,n_docs,total_words,total_lemmas
2024Q4-2025Q1 candidatură-precampanie,25,21118,7871
2025Q2 campanie + investitură,62,30475,12348
2025Q3 deficit + reforma economică,42,46126,18061
2025Q4 stabilizare + diplomație,57,35235,13756
2025Q4-2026Q1 reformă judiciară,85,55782,22611
2026Q2 cotitură UE + criză guvern,67,39208,16101
