id,label,wc,delta_to_scris_centroid,delta_to_vorbit_centroid,closer_to,pc1,pc2
2025-03-13_tomograful-sonic-picus-detecteaza-in-mod-non-invaziv-eventua,scris,149,0.6699279500161073,0.7539775246539534,scris,0.5392909240087618,-3.04486845779182
2025-03-14_am-avut-o-intalnire-importanta-la-sediul-primariei-capitalei,scris,187,0.3576738885189394,0.478758446262632,scris,-1.8754358275496543,0.17287637576310494
2025-03-14_arcul-de-triumf-va-fi-deschis-permanent-pentru-vizitare-ince,scris,149,0.5372169131760451,0.6544038826122425,scris,-1.82617469240804,-2.1222215555551616
2025-03-15_anul-acesta-se-implinesc-35-de-ani-de-la-citirea-proclamatie,scris,116,0.4761925390123541,0.5409281236862385,scris,-0.577385030884405,-0.4571001449998819
2025-03-15_de-ziua-internationala-a-raurilor-angajatii-alpab-impreuna-c,scris,203,0.4774086087494631,0.6322991469439941,scris,-3.162499933664967,-0.8506299326078974
2025-03-15_la-constanta-am-simtit-ca-oamenii-vor-cu-adevarat-o-schimbar,scris,80,0.5133776263809533,0.6242133346963166,scris,-2.5619200934850155,-0.6066397361620403
2025-03-15_romania-trebuie-sa-se-dezvolte-mult-mai-echilibrat-si-sa-imp,scris,147,0.47787454795813467,0.5725773877001981,scris,-0.27022720379741877,-0.14586568091602414
2025-03-16_in-zgomotul-electoral-a-fost-tratata-prea-discret-stirea-ca,scris,199,0.5303330141414986,0.5946108983376578,scris,0.7560867401655305,0.020111721291216456
2025-03-16_o-noua-actiune-de-informare-si-control-pentru-verificarea-ca,scris,132,0.4796886313701918,0.5953896239637446,scris,-1.7729332462538696,0.24246601319900452
2025-03-17_un-bloc-de-locuinte-situat-pe-calea-victoriei-nr-101-va-fi-c,scris,109,0.455987145010751,0.5963378360837989,scris,-3.4968175313600725,-1.964970583203096
2025-03-17_unii-ma-considera-incapatanat-altii-ma-vad-perseverent-acest,scris,52,0.82355363730179,0.896544216681269,scris,2.0510108157550584,-0.8166626384974128
2025-03-18_am-acordat-un-interviu-pentru-cotidianul-le-monde-in-care-am,scris,53,0.5404177990594485,0.6439510649842218,scris,-1.7130206049394185,1.6687080063739188
2025-03-18_am-semnat-autorizatia-de-construire-pentru-restaurarea-palat,scris,78,0.4779369010943213,0.5806335940764625,scris,-1.6517518014839954,1.6766085852588821
2025-03-18_transparenta-cheltuirii-banilor-cetatenilor-trebuie-sa-devin,scris,94,0.5075410932020589,0.5140697803386165,scris,1.7777928209482632,-0.33455381499156556
2025-03-19_deschidem-inca-doua-noi-santiere-pentru-modernizarea-a-21-5,scris,186,0.4575527103316029,0.6367993688740152,scris,-4.168547824311613,-1.1077357442785112
2025-03-20_am-o-mare-admiratie-pentru-romanii-care-au-plecat-din-tara-a,scris,98,0.5301390652844521,0.6155329307124277,scris,-0.5477238786116384,1.602285613653654
2025-03-20_daca-voi-fi-ales-presedinte-voi-pune-in-practica-toata-exper,scris,69,0.6479429246783485,0.7224541054874021,scris,0.5653533181178783,-1.6845552000878512
2025-03-21_am-atribuit-contractul-pentru-realizarea-unui-nou-plan-integ,scris,166,0.5073237574725847,0.6797172877224708,scris,-4.264358337279208,-2.4626095265204926
2025-03-21_combaterea-ferma-a-evaziunii-fiscale-si-recuperarea-justa-a,scris,110,0.420190795700645,0.5393477023602344,scris,-0.9421845278613853,-0.07533830171434683
2025-03-21_increderea-cetatenilor-se-castiga-greu-si-se-pierde-usor-ale,scris,60,0.5890887054390346,0.7371480835231167,scris,-2.353352537949724,-1.4510287531561115
2025-03-22_luna-sanatatii-orale-campanie-educationala-pentru-copii-in-s,scris,130,0.5964024221651348,0.7564879970582106,scris,-3.6150488784407613,1.9611065227347284
2025-03-23_romania-se-confrunta-cu-o-criza-de-datorie-si-cheltuieli-far,scris,140,0.5543334443876239,0.7235620127757487,scris,-4.646548548233092,-3.0605445876453583
2025-03-24_tramvaiele-imperio-de-la-astra-arad-sunt-exemplul-perfect-ca,scris,108,0.42827561356480837,0.5111252148916432,scris,-0.5879764538251588,0.9267055265130828
2025-03-24_una-dintre-cele-mai-importante-lupte-in-activitatea-mea-publ,scris,124,0.4954653371572693,0.6457917297164377,scris,-2.7740284468738037,-1.080115031184161
2025-03-26_incepem-modernizarea-liniei-de-tramvai-pe-bulevardul-expozit,scris,163,0.431931225686339,0.5387681540487921,scris,-1.8493419785249832,-0.6423282287455202
2025-03-27_astazi-27-martie-marcam-107-ani-de-la-un-moment-esential-in,scris,148,0.5624253713969914,0.6879676122299172,scris,-2.571056386202321,0.3592020227746768
2025-03-28_vom-relua-lucrarile-pentru-finalizarea-proiectului-prelungir,scris,145,0.47134262355927775,0.598254174658017,scris,-2.7510914252033802,-0.4317266705442355
2025-03-29_aderarea-republicii-moldova-la-uniunea-europeana-este-o-prio,scris,64,0.5540046529980378,0.6458070876166248,scris,-1.591725437953349,-1.9078245029345602
2025-03-29_am-deschis-astazi-oficial-sediul-de-campanie-pentru-candidat,scris,176,0.4604935540539586,0.5878919576020213,scris,-1.2897962091834971,1.3696346618798247
2025-03-29_primul-transplant-hepatic-din-2025-a-fost-realizat-cu-succes,scris,167,0.4580519754387574,0.60550586198503,scris,-2.3078346652028463,-1.5000948418750244
2025-03-30_astazi-am-discutat-cu-sustinatorii-din-chisinau-despre-impor,scris,193,0.42505202205153,0.5938291161487693,scris,-3.286045981276752,-0.599376569215448
2025-03-31_am-vizitat-ieri-la-chisinau-cramele-cricova-un-adevarat-simb,scris,71,0.6157465571522014,0.7699459519642359,scris,-3.5921580977311987,-1.428094994445121
2025-04-01_psd-care-a-cheltuit-peste-50-de-milioane-de-euro-din-bani-pu,scris,130,0.4850311126594611,0.5928679674355464,scris,-0.47384230407099165,0.600940967994985
2025-04-01_situatia-financiara-actuala-a-romaniei-este-similara-cu-cea,scris,64,0.7072886900843486,0.8156622508135847,scris,-0.20915005849667465,3.629012869615098
2025-04-03_am-avut-astazi-o-intalnire-cu-directori-ai-teatrelor-aflate,scris,155,0.4144520607436031,0.5694324840020762,scris,-1.9336897104674247,-1.6459147288140155
2025-04-03_am-semnat-astazi-un-protocol-de-colaborare-cu-untold-univers,scris,189,0.4380396297974903,0.6003333757427824,scris,-2.6344596778976563,-0.9537583548326097
2025-04-03_in-cateva-ore-incepe-oficial-campania-electorala-voluntarii,scris,88,0.7768088494125551,0.8552444826474855,scris,0.5274150013388305,2.974592187106648
2025-04-03_madrid-londra-roma-paris-berlin-bruxelles-new-york-acolo-und,scris,86,0.5513287551063595,0.6572729624816896,scris,-0.5339130487175251,1.7574096436307216
2025-04-03_tarifele-impuse-de-statele-unite-vor-afecta-intreaga-lume-ia,scris,226,0.38839013677271983,0.5212342858619466,scris,-1.5365570932729429,-0.3750658861205192
2025-04-04_aniversam-azi-intr-un-context-geopolitic-foarte-complicat-76,scris,270,0.425932208429219,0.61654547703372,scris,-3.5819632922714346,-0.35734564131260715
2025-04-05_dupa-o-zi-lunga-la-madrid-am-ajuns-in-camera-de-hotel-si-am,scris,115,0.8535879281434409,0.9674799953806036,scris,-0.048424576285195704,-2.7725805379724027
2025-04-05_forta-antreprenorilor-romani-din-regiunea-madrid-am-avut-o-d,scris,167,0.4560778577053039,0.5730642806039351,scris,-1.543864942316868,0.89437919443531
2025-04-05_intalnire-romaneasca-la-arganda-del-rey-regiunea-madrid-am-f,scris,196,0.5493026170761848,0.6097469275890768,scris,0.38744564946193794,2.614732346073635
2025-04-05_interviu-la-radio-romanul-alaturi-de-romanii-din-diaspora-am,scris,189,0.4191749974377361,0.5734291517326825,scris,-1.9341989530119437,-0.025886877271638166
2025-04-05_prima-pajiste-urbana-cu-flori-de-camp-salbatice-din-bucurest,scris,199,0.3920866170385008,0.5332304545051325,scris,-2.262408824446053,-1.6899192375301688
2025-04-05_sunt-incantat-sa-anunt-bucurestenii-ca-incepand-cu-12-aprili,scris,166,0.5854720256278569,0.7026067990785145,scris,-2.183210206602914,-1.7520260817409121
2025-04-05_vizita-in-diaspora-romaneasca-din-spania-cubas-de-la-sagra-l,scris,220,0.41755766752912843,0.5226485456759459,scris,-1.6042576340686354,0.2881587286060942
2025-04-06_traditii-si-flori-de-sarbatori-revine-in-bucuresti-primaria,scris,189,0.4306176332055429,0.622708210382179,scris,-4.1608942375121805,-0.5410833465388577
2025-04-06_zi-reusita-la-targul-de-adoptii-aspa-din-parcul-carol-de-ier,scris,89,0.5351597790761106,0.6748437423199333,scris,-1.8251347426088702,0.7878776595385871
2025-04-07_asa-arata-stabilitatea-psd-pnl-riscam-sa-pierdem-miliarde-de,scris,166,0.46795369103219137,0.5719465128299744,scris,0.472058139976122,-0.8519290925229844
2025-04-07_ieri-m-am-intalnit-cu-una-dintre-cele-mai-puternice-comunita,scris,166,0.48970258773684994,0.6065310316132454,scris,-1.2996208959883129,2.1396608388520897
2025-04-07_marcel-ciolacu-prim-ministru-al-guvernului-romaniei-conduce,scris,126,0.5438700642766515,0.6591959404067699,scris,-1.7096878094606824,-2.462993660662207
2025-04-08_astazi-de-ziua-internationala-a-romilor-gandurile-mele-se-in,scris,153,0.5769110927386024,0.6565483652275012,scris,0.34297221159427843,-0.4468828151975626
2025-04-08_consider-ca-propunerea-presedintelui-interimar-domnul-ilie-b,scris,132,0.5504084304658022,0.6397596151587132,scris,-0.5288217002195758,-1.5684701190261259
2025-04-10_later-edit-steven-seagal-este-emisar-special-al-ministerului,scris,207,0.4283151519159428,0.5000252177250456,scris,0.22853069624934275,0.32909034889714706
2025-04-11_indemnizatiile-persoanelor-cu-dizabilitati-din-bucuresti-au,scris,114,0.3829806319123187,0.4757919841955173,scris,-0.6082111374009118,1.054768505918397
2025-04-11_la-finalul-anului-trecut-coalitia-stabilitatii-psd-pnl-infii,scris,209,0.5447455316663773,0.6602343063621862,scris,-0.9471972049282468,-1.25601855924247
2025-04-12_am-fost-onorat-sa-particip-astazi-alaturi-de-e-s-katae-takas,scris,193,0.4703067664920612,0.5293188987692496,scris,-0.03853144077104662,1.3535753272473754
2025-04-12_domnul-ciolacu-se-teme-ca-va-fi-obligat-sa-poarte-fusta-daca,scris,59,0.670400467576838,0.6651398366057005,vorbit,3.6805332376985387,0.21290391990723484
2025-04-13_condamn-cu-fermitate-atacul-criminal-de-azi-al-rusiei-care-a,scris,91,0.6291713313260044,0.7227777453820745,scris,0.19916439991172455,-1.5731325760703072
2025-04-13_coruptia-e-motivul-principal-pentru-care-oamenii-o-duc-greu,scris,50,0.7192530901351644,0.8013634280098946,scris,0.6631551408997023,2.3218740629339205
2025-04-13_primul-week-end-strazi-deschise-bucuresti-promenada-urbana-c,scris,131,0.5283601926059959,0.657577092155245,scris,-2.495278422793351,0.6497268396701487
2025-04-13_targul-de-paste-traditii-si-flori-de-sarbatori-s-a-deschis-i,scris,100,0.5869205951411649,0.7105128324095169,scris,-2.363095730902071,1.4875703491282308
2025-04-14_de-la-ce-functie-in-sus-considera-biroul-electoral-central-c,scris,240,0.5475501214236863,0.6673245903170907,scris,-0.878432511906867,1.0747127861464756
2025-04-14_presedintele-absent-iohannis-si-tandemul-psd-pnl-au-tolerat,scris,59,0.47322363042642684,0.5721430625995206,scris,-1.7386339176425485,-0.7853792190230979
2025-04-15_activitatea-suspecta-asupra-conturilor-mele-de-social-media,scris,54,0.6063414471901988,0.7468320646322162,scris,-3.640953874151671,-0.8530010722739609
2025-04-15_avem-o-scadere-a-productiei-industriale-cu-3-9-in-primele-lu,scris,156,0.5503402224772281,0.6687424655115344,scris,-1.3468433256970722,-1.2705896923215203
2025-04-15_pe-conturile-mele-de-instagram-nicusor-dan-pg-si-tiktok-nicu,scris,201,0.6634147160866469,0.6668071367178112,scris,3.1933702197613787,-1.6321405573700178
2025-04-16_astazi-a-mai-venit-o-veste-ingrozitoare-moartea-unui-tanar-d,scris,220,0.44348067793395285,0.5853929261324636,scris,-2.300649634162535,-2.10727451900276
2025-04-16_trei-pasaje-importante-din-bucuresti-vor-fi-reabilitate-prim,scris,144,0.5637974760784717,0.6710580307626097,scris,-1.1246632575711115,-1.4715071915468871
2025-04-17_am-lansat-oficial-planul-de-actiune-pentru-oras-verde-paov-u,scris,182,0.47639528600356834,0.6215768013525917,scris,-2.441104549965233,-0.052160425479545795
2025-04-17_o-veste-buna-astazi-primaria-capitalei-a-atras-555-de-milioa,scris,117,0.39917764328887695,0.48538818002314876,scris,-0.1372203925349492,0.0952953978940948
2025-04-18_am-vizitat-o-fabrica-de-panificatie-unde-in-prag-de-paste-mi,scris,136,0.5643138481948564,0.6223973491905405,scris,1.2215493459212572,-0.810127037765086
2025-04-21_cu-profunda-tristete-am-aflat-vestea-trecerii-la-cele-vesnic,scris,66,0.4720255346016,0.5786988809289265,scris,-1.7602913602785581,1.2051375119548515
2025-04-23_sanatatea-e-un-drept-fundamental-in-romania-onesta-pe-care-o,scris,91,0.7200613334372383,0.7938278613974754,scris,0.03800653650246822,2.013102011829592
2025-04-24_am-semnat-astazi-declaratia-universitatii-din-bucuresti-un-a,scris,193,0.3962040889452081,0.5651563647885882,scris,-2.6077915178937774,-1.8848790076510256
2025-04-24_educatia-este-temelia-unei-romanii-puternice-fiecare-copil-d,scris,82,0.6510383738063181,0.7489120807192744,scris,-0.5435428844006036,0.5095984372708778
2025-04-24_in-loc-sa-cheltuim-pe-lucruri-care-dau-bine-in-bucuresti-am,scris,65,0.5399265739120882,0.6245287322927193,scris,0.44491207036241115,-0.9302776882674211
2025-04-25_bucurestiul-a-facut-un-pas-important-spre-un-urbanism-respon,scris,285,0.4070421678975422,0.532628652701172,scris,-1.5612112417903594,-0.610868893117064
2025-04-25_la-bebe-bucuresti-familiile-gasesc-haine-si-jucarii-donate-c,scris,60,0.5910740847053945,0.7167069466531351,scris,-1.52162712205359,-0.7350143664762085
2025-04-26_o-veste-foarte-buna-toti-cateii-27-care-au-participat-astazi,scris,115,0.5850998934242626,0.6692655944220267,scris,-1.0526366710407853,3.9190490697432243
2025-04-28_dezbaterea-s-a-incheiat-voi-cum-ati-perceput-aceasta-dezbate,scris,109,0.5790839493163419,0.696224210437781,scris,-1.0799966770887075,1.940766940175686
2025-04-28_voi-participa-la-toate-cele-trei-dezbateri-cu-candidatii-la,scris,71,0.701202362895955,0.8142500691690658,scris,-1.0464397663552796,1.4548407856698164
2025-04-29_de-ziua-veteranilor-de-razboi-cinstim-curajul-celor-care-au,scris,54,0.6197311558444097,0.715377540031735,scris,-1.2262281461297078,1.1834143865398
2025-04-29_domnul-crin-antonescu-cere-documentele-pe-care-de-altfel-i-l,scris,136,0.5072415993934323,0.5757098762342646,scris,0.16891551203848898,1.38600305812312
2025-05-01_este-incalificabil-sa-folosesti-romanii-bolnavi-de-cancer-ca,scris,152,0.4443525908321035,0.49183971190848447,scris,0.5995423373362199,-0.10849896785698901
2025-05-03_romania-are-nevoie-de-o-presa-onesta-de-ziua-internationala,scris,68,0.5814669543775771,0.7005544184648462,scris,-2.5722373821234514,3.745041212123726
2025-05-04_o-prezenta-mare-la-urne-le-strica-planurile-alegerea-ta-poat,scris,88,0.5029212197006132,0.5765288257125626,scris,-0.45356478169431247,3.6261189632217437
2025-05-05_prin-votul-romanilor-de-ieri-s-a-incheiat-o-epoca-politica-s,scris,68,0.5431843770997338,0.637614466045728,scris,-1.394935522522929,-1.3707351829616632
2025-05-05_romania-are-o-sansa-le-multumesc-tuturor-celor-care-au-votat,scris,153,0.4571105244473609,0.5596620198130325,scris,-0.668425810670104,1.0362383318697654
2025-05-06_6-mai-1990-podul-de-flori-ziua-in-care-prutul-a-unit-nu-a-de,scris,133,0.5934541891370163,0.6798023923377287,scris,-0.22809299382068216,0.8017374577495641
2025-05-06_curajul-si-puterea-femeilor-care-aleg-sa-plece-din-relatii-t,scris,101,0.4655622966020243,0.5848300554611405,scris,-0.9904078555053866,-0.510136395621338
2025-05-07_am-vorbit-azi-in-cadrul-unui-eveniment-organizat-de-romanian,scris,124,0.5828526803548258,0.6679079749587552,scris,1.280736557775457,-0.6529038050082333
2025-05-08_salut-alegerea-noului-papa-leon-al-xiv-lea-si-sunt-alaturi-d,scris,57,0.44651374176347663,0.5993774730382482,scris,-3.8712224180718526,-2.157563344498345
2025-05-09_la-multi-ani-europa-astazi-de-ziua-europei-celebram-nu-doar,scris,229,0.48386389219612075,0.6690217936680684,scris,-2.6798076459435416,-0.5617924373424885
2025-05-10_astazi-10-mai-celebram-ziua-independentei-de-stat-a-romaniei,scris,150,0.4487885432698637,0.5761952213209116,scris,-1.577400731254015,1.4035573372132146
2025-05-10_george-simion-si-a-dezvaluit-adevarata-fata-un-suveranist-de,scris,69,0.6792309758436729,0.7601488173809797,scris,0.3076951651699764,3.459642230524861
2025-05-10_o-tara-care-isi-doreste-sa-fie-sigura-si-in-care-legea-este,scris,110,0.4901447491892032,0.5672529054942139,scris,-0.4697180713509276,-0.4593994502529583
2025-05-10_romania-nu-si-permite-sa-faca-un-experiment-sa-vada-cum-ar-f,scris,57,0.5949083588345979,0.6871396637388313,scris,0.6329290291629046,-1.0290737528247356
2025-05-11_atacurile-botilor-continua-si-nu-intamplator-sunt-vizate-pos,scris,55,0.8352012363072184,0.9047067955369441,scris,1.0799930087016267,-4.249808754175064
2025-05-11_romania-are-nevoie-de-noi-toti-traim-vremuri-care-ne-pun-la,scris,89,0.6497486105308228,0.7038534937104697,scris,1.9158623214945822,0.8096034241382137
2025-05-14_am-primit-cu-multa-emotie-si-recunostinta-mesajul-presedinte,scris,113,0.5877758118101183,0.6910143277988372,scris,-1.5026511300414336,3.903936171995033
2025-05-14_ii-multumesc-prim-ministrului-poloniei-donald-tusk-pentru-ac,scris,67,0.7158172895352354,0.8222874011348908,scris,-1.013669999495772,2.797126929460455
2025-05-15_contracandidatul-meu-minte-ca-o-gazeta-ruseasca-nu-exista-ni,scris,114,0.7073753639965074,0.8416036926952357,scris,-1.9220627255724785,-0.7752534885761646
2025-05-15_este-intolerabil-sa-jignesti-sute-de-mii-de-copii-si-adulti,scris,133,0.5615621448827094,0.6901827423049263,scris,-0.4092237391032273,0.39342177680211265
2025-05-15_simion-si-partidul-lui-despre-femei-felul-in-care-un-barbat,scris,62,0.8046500889337345,0.8641743380791906,scris,1.9051364251036322,2.2162478818913547
2025-05-16_in-timp-ce-contracandidatul-meu-jignea-poporul-francez-chiar,scris,79,0.492821090320651,0.6121477096404933,scris,-2.32912592181233,3.6654005057976535
2025-05-16_romania-care-munceste-merita-respect-si-sustinere-am-fost-la,scris,58,0.6112598112475336,0.7164927546461353,scris,0.2041838513416888,2.2764510637302444
2025-05-18_a-fost-o-mobilizare-fara-precedent-si-de-aceea-victoria-este,scris,73,0.5871370372897572,0.695157739137601,scris,-0.40860801642831834,2.684194588940354
2025-05-18_am-votat-astazi-la-fagaras-in-orasul-meu-natal-in-scoala-in,scris,187,0.561738773424958,0.624074444343702,scris,0.46784926460783294,0.6153746715003141
2025-05-21_prioritatea-principala-in-aceasta-perioada-este-corectarea-d,scris,70,0.5823600362172044,0.6686974828854996,scris,-0.7624815510898306,-3.867965140403436
2025-05-22_am-fost-bucuros-sa-particip-la-gala-repatriot-un-eveniment-d,scris,66,0.4350862902837577,0.5235336406069223,scris,0.22246269137304583,-0.3763898325950699
2025-05-22_astazi-am-primit-validarea-mandatului-de-presedinte-al-roman,scris,82,0.4983317178289611,0.5843334048053461,scris,-0.1529178861074559,1.3719588363765856
2025-05-23_dragi-bucuresteni-orasul-apartine-oamenilor-nu-functiilor-ia,scris,184,0.3881326518661605,0.5180880335582981,scris,-1.7765776875989923,0.24251219580517747
2025-05-24_investitia-in-educatia-tinerilor-ii-va-ajuta-pe-ei-sa-creasc,scris,161,0.3837199529188502,0.5352128364625076,scris,-2.5338410168665275,0.2660087627872392
2025-05-24_romania-continuam-pe-drumul-democratic-pro-european-si-trans,scris,271,0.6595125925899182,0.7303651358265639,scris,0.7856476835952365,5.478378347365146
2025-05-25_am-avut-astazi-o-discutie-utila-si-foarte-placuta-cu-o-parte,scris,85,0.5343226796716403,0.6879824011915919,scris,-3.114877610370108,3.186009627843512
2025-05-25_am-participat-astazi-cu-emotie-si-speranta-la-marsul-milionu,scris,102,0.3989558988796941,0.5069259532247772,scris,-1.3169338022016448,0.831829624089648
2025-05-25_cu-ocazia-zilei-romanilor-de-pretutindeni-gandurile-mele-se,scris,89,0.4760701724793694,0.6319723573577908,scris,-2.7506870454342027,1.4177681101042285
2025-05-26_astazi-am-depus-juramantul-in-fata-parlamentului-romaniei-ca,scris,109,0.5714310138451093,0.6362080160068927,scris,0.9859979800895048,1.4898289652820047
2025-05-28_am-fost-onorat-sa-port-o-discutie-cu-presedintele-donald-tru,scris,74,0.5097069196433255,0.6422313973415025,scris,-2.5132765179871597,4.003412627315954
2025-05-29_decizia-surprinzatoare-a-curtii-constitutionale-anuntata-ast,scris,72,0.539639648379262,0.6500895397748994,scris,-2.9463536735271485,-2.9101201201898177
2025-05-29_gandurile-mele-se-indreapta-catre-familiile-lovite-de-inunda,scris,115,0.5225831543547678,0.6485389250809338,scris,-0.9650335227582443,-0.07866216953457873
2025-05-31_am-fost-astazi-in-comuna-bacel-grav-afectata-de-inundatii-am,scris,79,0.5784910609791825,0.6671903937317536,scris,-0.5001548097919172,-1.3188721993510184
2025-05-31_astazi-am-fost-la-praid-alaturi-de-o-comunitate-profund-afec,scris,126,0.48214756535130815,0.5932953496755775,scris,-0.6732395884134279,-1.5018335167380856
2025-06-01_astazi-de-1-iunie-celebram-inocenta-bucuria-si-speranta-pe-c,scris,145,0.5278847928681618,0.5971034025437959,scris,0.10524537867524864,2.1283908277222423
