word,importance,mean_scris,mean_vorbit,ratio_vorbit_over_scris
acesta,0.12798839747610508,0.004182047867368841,0.02035452694618976,4.867119552841447
fi,0.0757390449730769,0.04626884589993686,0.07680986704389281,1.6600774354736527
că,0.06935407616495311,0.011597781668744174,0.03543960341686312,3.055722588085293
deci,0.05392904417902514,0.00021267715339758756,0.005468874038319168,25.71444064842934
și,0.04084237156372838,0.09110562091409834,0.05856656923487112,0.6428425452485788
niște,0.03531674762033361,1.7006802721088435e-05,0.00440920250206396,259.26110712136085
o,0.03256882804270702,8.503401360544217e-05,0.004729987405115164,55.62465188415433
al,0.030730298518355247,0.037151948604047594,0.01412797393815147,0.38027544904097627
ăă,0.028213562415141103,0.0,0.004105959474515722,41.05959474515722
crede,0.028062544264229612,0.0003103822796130537,0.004429051899325253,14.269667407710415
nu,0.02674371293177028,0.012938920188315885,0.026521483054177567,2.049744698025653
într,0.02130270838187149,0.0,0.002810950984884307,28.109509848843068
să,0.019739090665114888,0.03789285194380498,0.05675804253908858,1.4978561820382548
pentru,0.01716437180394361,0.039402436793924,0.025650405831165735,0.6509852668584477
la,0.016779783414476196,0.03492984667479831,0.02302382165358725,0.6591446526502738
spune,0.014737513783861338,0.0005551254634687601,0.003794304651596859,6.83503982665062
ă,0.014655220115925252,0.0,0.0022141285167776087,22.141285167776086
care,0.014256107191153831,0.034615664297205494,0.044427952450073846,1.2834638118922506
de,0.013788132114558845,0.1057877303412494,0.07452484058695603,0.704475276542509
sine,0.012860753776936129,0.016694719519496328,0.012453253322181728,0.7459396552088607
prin,0.011984254415126027,0.006710350853782042,0.0018179916563169176,0.2709234875986065
dacă,0.011585138624420923,0.0014764867454419171,0.005320516044617697,3.603497329754389
avea,0.011475415651547239,0.057063857048452196,0.06169821639669312,1.0812135664840523
pe,0.010484637664840158,0.020369269857696,0.0274960810787079,1.3498805441138195
ce,0.010001767219679962,0.004153643070999845,0.009648263388916424,2.322843639666405
un,0.009519452255542666,0.05604318864979232,0.05477286730486196,0.977333171514054
întru,0.009397470668706703,0.0041214977637186925,0.0010122886503284335,0.24561184024884164
el,0.009266087496972025,0.01620317562370885,0.021478537978557317,1.325575830155753
în,0.009264928216680124,0.06530016720900357,0.05833217907366141,0.8932929511031724
cu,0.009154952612654291,0.029333525225445144,0.020680083974524237,0.7049982508268544
eu,0.008805059613574336,0.015295094030626549,0.023023276077601237,1.5052719539677202
a,0.00823693380572709,0.01398875797783856,0.0059450105290894915,0.42498487274622726
face,0.0077987539638277635,0.0019060648773904201,0.003373202521609449,1.7697207275691877
acest,0.007692781186874047,0.016825547411568963,0.014341849683506694,0.85238532409623
tu,0.007158576449787935,0.0030865379934195093,0.004674881431545234,1.5146035595583365
acela,0.006776590520610499,0.008793754802767097,0.005735838276238313,0.6522627028938126
meu,0.00660830800268718,0.015317756370889878,0.00736840357234102,0.48103673892764465
acel,0.006198889935405778,0.00025748332035439896,0.0013937050898549478,5.412797566602209
mult,0.006121229779089134,0.004977824755730761,0.006518879309951014,1.3095839307010761
putea,0.006062620126702564,0.004969935875655006,0.005750588394065137,1.1570749679556471
din,0.0059209573045935215,0.01996340169358386,0.01738803659007189,0.8709956778388285
