doc_id,date,tip,period,canonical,label,count,max_score
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,psd,partid politic,1,0.89
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,pnl,partid politic,1,0.94
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,dominic friț,persoană politică,1,0.851
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,cătălin drulă,persoană politică,1,0.87
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,partidul,partid politic,1,0.524
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,elena lasconi,persoană politică,1,0.802
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,românia,țară,2,0.953
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,venezuela,țară,2,0.913
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,pro nato,instituție națională,1,0.551
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,parlamentul,instituție națională,1,0.786
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,guvernul,instituție națională,1,0.473
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,domnia sa,persoană politică,1,0.536
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,ucraina,țară,1,0.862
2024-12-16_nicusor-dan-despre-calin-georgescu-in-ceea-ce-priveste-conte,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,româniei,țară,1,0.95
2024-12-16_nicusor-dan-despre-calin-georgescu-in-ceea-ce-priveste-conte,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,ue,instituție internațională,1,0.901
2024-12-16_nicusor-dan-despre-calin-georgescu-in-ceea-ce-priveste-conte,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,nato,instituție internațională,1,0.827
2024-12-16_nicusor-dan-despre-calin-georgescu-in-ceea-ce-priveste-conte,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,doamna șoșoacă,persoană politică,1,0.675
2024-12-16_nicusor-dan-despre-calin-georgescu-in-ceea-ce-priveste-conte,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,parchetul,instituție națională,1,0.487
2024-12-16_nicusor-dan-intentionez-sa-candidez-ca-independent-la-aleger,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,românia,țară,11,0.989
2024-12-16_nicusor-dan-intentionez-sa-candidez-ca-independent-la-aleger,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,românii,persoană politică,1,0.474
2024-12-16_nicusor-dan-intentionez-sa-candidez-ca-independent-la-aleger,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,președintelui,persoană politică,4,0.871
2024-12-16_nicusor-dan-intentionez-sa-candidez-ca-independent-la-aleger,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,româniei,țară,1,0.874
2024-12-16_nicusor-dan-intentionez-sa-candidez-ca-independent-la-aleger,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,independent,partid politic,1,0.511
2024-12-16_nicusor-dan-intentionez-sa-candidez-ca-independent-la-aleger,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,președinte,persoană politică,1,0.603
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,românia,țară,11,0.981
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,președintelui,persoană politică,2,0.751
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,româniei,țară,4,0.941
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,curtea constituțională,instituție națională,2,0.892
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,cele patru partide,partid politic,1,0.465
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,autoritatea electorală permanentă,instituție națională,1,0.734
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,agenția pentru protecția mediului,instituție națională,1,0.579
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,garda de mediu,instituție națională,1,0.578
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,pro occidentală,partid politic,1,0.625
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,ue,instituție internațională,1,0.763
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,nato,instituție internațională,1,0.711
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,doamna șoșoacă,persoană politică,1,0.697
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,parchetul,instituție națională,1,0.453
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,pro europene,partid politic,1,0.726
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,pro occidentale,partid politic,2,0.821
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,partidele prooccidentale,partid politic,6,0.956
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,românia,țară,9,0.963
