period,n_docs,total_words,total_lemmas
2024Q4-2025Q1 candidatură-precampanie,30,53429,22314
2025Q2 campanie + investitură,76,89957,39209
2025Q3 deficit + reforma economică,62,136969,58501
2025Q4 stabilizare + diplomație,72,83556,35135
2025Q4-2026Q1 reformă judiciară,132,193113,82271
2026Q2 cotitură UE + criză guvern,98,91557,39700
