period,docs,n_words,n_hedging,n_certitudine,n_personal,hedge_per_1000w,cert_per_1000w,personal_per_1000w,hedge_cert_ratio
2024Q4-2025Q1 candidatură-precampanie,25,21118,184,152,181,8.62,6.76,9.55,0.99
2025Q2 campanie + investitură,61,30460,212,190,191,8.44,8.41,7.29,0.8
2025Q3 deficit + reforma economică,42,46126,322,426,307,6.74,8.71,5.46,0.51
2025Q4 stabilizare + diplomație,55,35202,227,242,190,7.21,7.96,6.25,0.75
2025Q4-2026Q1 reformă judiciară,83,55752,401,300,325,8.03,4.92,6.72,1.06
2026Q2 cotitură UE + criză guvern,67,39208,197,220,249,5.1,6.0,5.33,0.55
